País;Código ISO país;Oficina de registro;Grupo edad;Edad (años);Área Conocimiento;Sub Area Conocimiento;Nivel Académico;Estado civil;Género;Etnia de la persona;Estatura (CM);Localización;Cantidad de personas
ALEMANIA;DEU;C. FRANKFURT;ADULTO;33;ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES;ECONOMÍA;NO INDICA;DESCONOCIDO;FEMENINO;SIN ETNIA REGISTRADA;160;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;29;CIENCIAS DE LA SALUD;ENFERMERÍA;NO INDICA;CASADO;FEMENINO;NINGUNA;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO JOVEN;28;CIENCIAS SOCIALES Y HUMANAS;PERIODISMO, COMUNICACIÓN SOCIAL Y AFINES;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;54;INGENIERÍA, ARQUITECTURA Y AFINES;INGENIERÍA MECÁNICA Y AFINES;NO INDICA;CASADO;MASCULINO;OTRO;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;39;MATEMÁTICAS Y CIENCIAS NATURALES;BIOLOGÍA, MICROBIOLOGÍA Y AFINES;POSTGRADO - DOCTORADO;CASADO;MASCULINO;NINGUNA;173;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;41;INGENIERÍA, ARQUITECTURA Y AFINES;INGENIERÍA EN SISTEMAS, TELEMÁTICA Y AFINES;NO INDICA;DESCONOCIDO;MASCULINO;OTRO;NO INDICA;(51.165691, 10.451526);2
ALEMANIA;DEU;C. FRANKFURT;ADULTO MAYOR;61;NINGUNA;NINGUNA;NO INDICA;CASADO;FEMENINO;OTRO;NO INDICA;(51.165691, 10.451526);3
ALEMANIA;DEU;C. FRANKFURT;ADULTO JOVEN;28;ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES;ADMINISTRACIÓN;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;NO INDICA;(51.165691, 10.451526);2
ALEMANIA;DEU;C. FRANKFURT;ADULTO;31;NO INDICA;NO INDICA;PREGRADO - PROFESIONAL;SOLTERO;MASCULINO;NINGUNA;183;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;36;CIENCIAS SOCIALES Y HUMANAS;GEOGRAFÍA O HISTORIA;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;NO INDICA;(51.165691, 10.451526);1
